latitude,price
-31.93138,2340
-34.55339,2337
-31.50577,2310
-31.95401,2300
-21.9535,2250
-33.56464,2250
-32.00476,2250
-31.82045,2250
-33.62085,2250
-31.98985,2250
-33.61342,2250
-32.5364,2250
-31.79346,2250
-32.04967,2240
-31.93656,2240
-32.06502,2205
-31.8052,2200
-31.98909,2200
-31.88724,2195
-21.95074,2184
-32.00237,2160
-33.63836,2125
-34.43955,2100
-17.95769,2100
-31.95479,2100
-31.93893,2100
-28.75617,2100
-31.8967,2100
-31.99247,2100
-27.75058,2100
-33.61462,2097
-31.97182,2093
-31.83597,2086
-31.95016,2086
-33.61775,2085
-31.97451,2079
-33.56882,2076
-33.59767,2076
-31.97872,2070
-31.74439,2070
-32.08294,2070
-33.65201,2067
-31.8759,2064
-32.70825,2050
-21.9533,2040
-33.55968,2020
-31.97216,2009
-31.98978,2005
-31.95747,2001
-31.94851,2000
-31.99244,2000
-33.63296,2000
-34.2541,2000
-31.98207,2000
-31.95719,2000
-33.6231,2000
-33.55832,2000
-33.61835,2000
-33.67199,1999
-33.66259,1999
-33.60177,1983
-33.60921,1962
-31.82807,1960
-31.57651,1960
-31.9329,1960
-33.6059,1953
-31.97805,1953
-33.61936,1953
-31.97082,1953
-33.602,1953
-33.80734,1953
-32.06733,1950
-31.89253,1950
-31.94022,1950
-21.94815,1947
-32.046,1937
-31.8965,1935
-32.03717,1932
-31.99835,1925
-31.89286,1920
-32.07676,1920
-31.88745,1900
-33.64482,1900
-31.70691,1890
-31.95462,1890
-31.87713,1890
-32.06263,1885
-32.05968,1880
-33.66169,1875
-33.79636,1860
-32.275,1860
-33.63804,1860
-31.98537,1855
-31.97947,1834
-32.07309,1834
-32.04621,1834
-33.61601,1824
-33.67828,1815
-31.97483,1807
-32.26413,1807
-33.99454,1803
-33.65216,1803
-33.67931,1803
-31.76498,1803
-33.74396,1802
-33.71995,1800
-32.60043,1800
-17.92997,1800
-31.85937,1800
-31.9285,1800
-33.63149,1800
-17.95772,1800
-31.96743,1800
-33.63348,1800
-34.99732,1800
-33.62287,1800
-33.96455,1790
-32.12323,1785
-33.67884,1773
-33.65277,1764
-31.9761,1760
-33.67272,1760
-31.87144,1750
-31.96925,1750
-31.93174,1750
-31.97811,1750
-31.98859,1750
-31.89357,1750
-27.42714,1750
-31.86117,1750
-31.98134,1750
-31.99258,1750
-31.91713,1750
-31.86243,1750
-32.0374,1750
-32.02639,1750
-32.00556,1750
-31.93443,1750
-31.95379,1750
-31.85472,1750
-32.03672,1750
-33.87135,1750
-33.86545,1750
-33.62811,1750
-27.70562,1745
-31.9691,1740
-31.97029,1736
-33.67064,1725
-33.6645,1725
-33.97687,1725
-33.60562,1725
-33.56175,1719
-28.78122,1710
-31.89616,1700
-31.8912,1700
-32.06499,1694
-31.94636,1694
-31.83007,1694
-31.97136,1680
-32.03947,1680
-31.73609,1680
-32.60217,1678
-31.83583,1666
-31.95354,1666
-33.95057,1665
-33.66021,1662
-33.64387,1659
-33.63716,1653
-33.866,1653
-17.95894,1653
-32.58445,1653
-17.95124,1653
-33.55764,1653
-31.95247,1650
-31.98478,1650
-33.61357,1650
-33.63912,1650
