latitude,longitude,value
-32.56585,115.66798,540
-32.00976,115.91582,90
-34.91773,116.46426,720
-32.0103,115.7619,405
-32.52732,115.70621,208
-33.67581,115.08459,900
-32.01729,115.85849,69
-31.97171,115.78316,860
-32.04488,115.89691,138
-33.67637,117.56557,260
-32.14989,115.84272,120
-32.0606,115.74884,3030
-31.85792,115.75363,198
-33.53334,115.5135,458
-31.91609,115.7777,47
-21.93548,114.12126,522
-32.08251,115.79268,444
-31.90938,115.82859,160
-32.01197,115.75485,150
-32.06961,115.75721,178
-31.97749,115.85575,676
-35.02341,117.88905,130
-31.98663,115.90278,45
-31.9778,115.80807,122
-34.95327,117.34505,340
-33.96455,115.00269,1790
-31.94362,115.87267,135
-33.60803,115.0937,400
-31.912,115.83562,124
-32.06119,115.75003,318
-31.98165,115.81472,131
-31.9808,115.81534,3388
-33.96627,116.15493,130
-32.06087,115.75235,318
-32.04622,115.75338,600
-32.06991,115.7531,507
-32.5233,115.7032,110
-31.99591,115.75465,202
-32.06579,115.75186,585
-32.12071,115.76721,198
-31.95341,115.84705,101
-31.95341,115.84705,303
-31.95341,115.84705,675
-31.98075,115.81392,460
-33.74836,115.94993,390
-32.07067,115.75408,242
-33.94044,115.06877,1185
-34.93194,117.18625,240
-33.63113,115.13944,540
-33.63113,115.13944,540
-33.59917,115.09647,1604
-33.7206,115.10881,360
-33.71995,115.10811,1800
-33.72143,115.10821,360
-34.96581,117.10876,298
-32.02746,116.03081,600
-32.03335,115.75666,60
-31.95126,115.87505,285
-32.05191,115.75525,380
-33.70991,115.08865,760
-17.97007,122.22993,1485
-31.95825,115.87343,120
-31.98118,115.8139,945
-31.9464,115.84205,363
-32.05819,115.75252,1320
-32.05127,115.75655,340
-33.8486,115.10335,139
-31.92017,115.89206,75
-31.94895,115.87998,720
-31.98226,115.81576,575
-31.98077,115.81592,393
-31.98057,115.81539,131
-33.94405,115.0526,290
-33.94604,115.05412,298
-32.05073,115.75829,150
-32.00942,115.90768,110
-32.05745,115.75129,262
-32.00428,115.75488,360
-31.89174,115.87174,340
-17.93485,122.21421,415
-32.06986,115.75038,176
-31.95993,115.87421,120
-31.93156,115.84854,298
-31.84975,115.77745,100
-29.2491,114.931,94
-35.01326,117.90861,111
-31.97965,115.87292,90
-29.27437,114.92194,368
-31.96028,115.81905,340
-31.6921,115.73343,480
-32.56123,115.74091,90
-32.05329,115.75656,340
-31.84553,115.79763,238
-31.84517,115.7977,258
-31.92459,115.91054,100
-32.05994,115.75179,447
-31.7527,115.7342,150
-32.13932,115.85832,99
-33.63271,115.13827,600
-28.78227,114.60567,110
-28.91448,114.70984,120
-31.92892,115.85338,299
-31.90337,115.83837,548
-32.03535,115.84884,160
-31.98714,115.87449,210
-32.17217,115.84879,122
-33.68946,122.04383,260
-31.91586,115.7777,68
-32.063,115.76017,297
-31.92312,115.84216,50
-33.65188,115.2038,360
-32.07503,115.75505,600
-33.14499,115.6911,340
-31.9211,115.89239,121
-31.96771,115.90178,250
-31.93709,115.85205,104
-32.10067,116.09023,134
-32.058,115.75706,159
-31.97786,115.79497,70
-31.84439,115.79826,218
-31.9564,115.86676,7200
-31.74177,115.7428,6300
-31.9219,115.8924,160
-31.98922,115.76764,655
-31.50612,116.37391,100
-31.8728,115.81255,80
-31.83906,115.75372,160
-31.97792,115.86462,164
-33.64271,115.36551,280
-33.72008,115.10733,480
-32.00725,115.76374,90
-31.98223,115.7962,2975
-33.97694,114.9933,650
-31.87068,115.75327,333
-31.87144,115.79423,1750
-32.00673,115.7635,320
-33.65848,115.29406,188
-31.98898,115.7672,250
-32.01644,115.85864,55
-31.93554,115.88544,34
-32.14282,116.0528,90
-31.7831,115.73564,390
-31.78276,115.73576,330
-33.99282,114.99776,600
-31.93214,115.90812,140
-31.93138,115.86112,2340
-31.95235,115.85651,405
-33.95004,115.05838,310
-33.6573,115.26789,390
-32.35975,115.7661,300
-31.94621,115.86519,70
-17.93075,122.21905,59
-32.35505,115.76568,300
-32.11078,115.76651,237
-32.05235,115.74863,109
-31.97669,115.88239,170
-33.96,116.09567,410
-31.95341,115.84705,345
-31.95341,115.84705,475
-35.02122,117.90682,240
-31.93578,115.86899,55
-31.95289,115.85591,129
-31.90187,115.97107,675
-31.82951,115.8447,100
-31.97815,115.87011,405
-34.43955,119.38332,2100
-31.92617,115.88664,278
-32.00334,115.75929,250
-33.99578,114.99882,600
-33.78507,115.99774,360
