Year,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Slovak Republic,,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,145,222,122,166,177,243,354,417,478,342,350,267,479
Portugal,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,228,214,171,192,209,213,209,223,273,277,302,373,360
Lebanon,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,196,314,249,271,217,186,176,221,295,277,328,343
Peru,na,na,na,na,na,na,na,na,na,na,na,na,32,80,79,88,103,85,90,98,198,175,233,218,175,191,272,272,276,501,520,507,342
Puerto Rico,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,452,446,459,626,628,625,496,374,427,332,309,398,322
Estonia,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,12,21,19,42,53,41,51,42,68,80,102,171,280
Bermuda,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,253,389,320,276,339,236,258,294,271
Cyprus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,85,103,106,126,159,169,190,269,269,240,211,260,250
Luxembourg,,,,,,,,,,,,,,,,,na,na,na,na,27,29,40,33,29,39,64,63,73,136,227,279,236
Romania,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,46,89,60,59,75,77,95,160,151,260,182,228,235
Vanuatu,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,158,181,221,189,174,173,189,180,143,155,196,226,233
Egypt,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,143,222,211,221,156,164,104,145,125,127,124,173,204
Colombia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,43,53,60,64,82,80,112,134,140,152,187,173,198
Kuwait,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,316,503,369,378,443,476,423,109,23,33,108,216,191
Mauritius,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,112,146,86,106,110,103,118,121,163,162,141,188,189
Slovenia,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,68,70,53,59,73,73,103,119,144,150,172,172,179
Solomon Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,185,174,155,151,236,287,250,192,134,139,163,183,176
Kenya,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55,51,58,75,86,86,106,91,116,102,118,155,168
Republic of Congo,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,76,3,3,206,688,903,951,876,137,271,317,515,166
Nepal,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,25,38,48,51,54,65,87,93,78,87,116,155,161
Iran,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,77,160,104,235,129,93,103,114,129,199,149,172,154
Costa Rica,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,64,126,101,121,141,157,158,151,127,129,137,150,154
Timor-Leste,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,91,117,115,116,132,140,124,118,119,118,133,144,149
Croatia,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,116,151,156,149,153,171,175,201,196,148,129,145,148
Malta,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,110,142,126,131,126,134,149,163,159,96,122,118,129
Samoa,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,156,132,106,108,98,102,105,101,116,127,111,124,128
Myanmar,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,40,34,44,31,34,58,72,77,104,102,117,101,121
Serbia,,,,,,,,,,,,,,,,,,,,,,,10,52,92,99,109,119,124,113,97,106,120
Yemen,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2,4,2,0,1,1,0,0,0,0,0,0,119
Jordan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,26,46,34,40,44,48,47,57,75,65,54,102,117
Morocco,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,58,242,52,76,117,67,62,115,63,89,94,95,114
